Category,Resume
Database Administrator,"Ability: Maintains SQL Server Databases, Automated Email Notification System, Automated Daily Data Extraction, Leads Software Upgrades, Built EDI File Automation, Developed In-House C# Program, Maintained Complex SQL Queries, Developed Stored Procedures, Performed Requirements Gathering, Managed Multiple SQL Projects, Created SSIS Packages, Used Execution Plans, Created Indexes for Performance, Assisted 13,000+ Users, Explained Technical Solutions, Automated Desktop Applications, Used Web Debugging Tools, Developed Password Saving App, Created WordPress Content, Trained WordPress Users, Implemented Design with JS/jQuery, Utilized Sprint Meetings, Designed Responsive Webpages, Developed Validation Pages, Analyzed and Documented Bugs, Provided Tier 2 Technical Support, Performed SQL Server Repairs
Education: B.S. in Computer and Info. Technology@Arkansas State University
Experience: Database Administrator@East Arkansas Community College | SQL Developer@Star Transportation LLC | Computer Support Specialist@Arkansas State University | Programmer Analyst@Rural Sourcing Inc | Quality Assurance Analyst@Rural Sourcing Inc
Skill: SQL Server, SQL Server Security, Automation, SSIS, Jenzabar, PowerFAIDS, EDI, C#, SQL, Stored Procedures, SSIS, CSV, Excel, Query Optimization, Mac, Windows, VMware, Desktop Applications, API, SQLite, Fiddler, Postman, WordPress, JavaScript, jQuery, Bootstrap, HTML/CSS, Software Testing, MSSQL, Technical Support"
Database Administrator,"Ability: Toastmasters and experienced community speaker (10+ years), Instructor Continuing Eduication Oracle Fundamentals (7 years), Oracle Certified Professional Database Administrator
Education: Management and Public Policy in Management and minor in Management Information Systems@Carnegie Mellon University | Metallurgical Engineering in Mineral Processing Metallurgy and Extractive Metallurgy@Colorado School of Mines
Experience: Database Administrator@Interfuse Infopro | Principal Engineer@TekSystems / General Dynamics IT | Production Database Administrator@Insight Global / Hewlett Packard
Skill: Oracle 12c Database development, table design, loading data, PL/SQL development of stored procedures, SQL Loader, development in Toad, data migration from Oracle 11g, development of data quality procedures for critical infrastructure applications previously owned by the Office of Homeland Security, SQL Server Database, Enterprise Server operations for Army Metering Program, Operations, backup and recovery, setting up offsite cold backup and pre-production servers, Integration of new data in ETL procedures, Security implementation of DISA stigs, Total Data Encryption (TDE), day to day monitoring and implementing scheduling of key processes, Enterprise server receives data from 100+ gateways 24/7, Team received one of the first RMF certification for our system, Datapump, back up and recovery, Dataguard, Cron job setup, Kornshell scripting, Security and STIG compliance updates of database configurations, Monitoring, backup and restore of development, test and production, RMAN administration"
Oracle Database Administrator,"Ability: Over 6 years of experience as an Oracle Database and application Administrator, Responsible for database administration, production support, installation, configuration, upgrades, patches, backup and recovery, database security, RAC, Data Guard, auditing and space management, End-to-End implementation of High Availability solutions Oracle 11g RAC with ASM, Knowledge of cloning and database security with Oracle Software 12c/11g/10g/ on Red Hat Linux and Windows Platform, Experience on working with implementing disaster recovery using data guard physical standby databases, Experience in Upgrading databases and applied patch sets to multiple databases, Excellent analytical and problem-solving skills, Backup of Databases (Making Backup Schedules depending upon Business Strategy: Daily Backup, weekly Backup etc.) using RMAN and other backup techniques, Recovery of Databases (Recovering from Media Failure, Recovering tables dropped accidentally, Recovering data files, Recovering from Block Corruption), Experience in using OEM, TOAD, Data Migrations using export/import and Data pump, Good experience in applying the patches using opatch, Upgrades from 11gr2 to 12.1 and from 12.1 to 12.2. Schema refreshes from prod to development and test databases, Good experience in design, installation, administration and support of RAC Databases, Excellent knowledge in Hot/Cold Backup, Recovery, Cloning of databases using RMAN, Excellent Written and verbal Communication skills and knowledge on Oracle Support processes for technical requests with Metalink
Education: Masters in Management Information Systems@Glasgow Caledonian University | Masters in Information Technology@Comsats institute of information technology
Experience: Oracle Database Administrator@TCS | Oracle Database Administrator@Liberty Mutual | Oracle Database Administrator@ASDA | Oracle Database Administrator@Arnold Clark automobiles
Skill: Oracle 10g/11g/12c RAC, SQL Loader, OEM, Red Hat Linux, TOAD, PL/SQL, SQL, Oracle 10g/11g, Windows, Red Hat LINUX, RMAN, Grid Control, Data Guard, EXP, IMP, Data Pump, SSH, Oracle 9i/10g RAC, RHEL, SQL, RMAN, Oracle 10g Grid control, Data Guard, SQL*Loader, EXP, IMP, TOAD, Data pump, Oracle 10g R2, UNIX, SQL Tuning, Database Tuning, Expdp/Impdp"
IT Specialist,"Ability: Analytic, Friendly, Communicative, Database, Application Testing, Consulting, Sales Assistant, Real Estate Broker, Driver, Mobile Application Development, Customer Communication, Documentation, Industrial Automation, Programming, Network Administration
Education: Bachelor's in Computer Science@Technical university Ostrava | High school or equivalent in Computer Science@Information Technology High School
Experience: IT Specialist@innogy | Mystery Shopper@Hello innovation | Database Developer@Oltis | Programmer@Moravia steel | Network Administrator@Steeltec | Real Estate Agent@Certifis | Cashier@Tesco | Trainee@KFC
Skill: IT Specialist, Information Technology, Database, Application Testing, Consulting, Mystery Shopper, Inspection Services, Database Development, Mobile Application Development, Customer Communication, Application Testing, Documentation, Programming, Industrial Automation, Lotus Script, Simatic Programming, Network Administration, Real Estate, Cashier, Trainee"
SQL Database Administrator,"Ability: Highly motivated team player, adapt at multi-tasking, thrives in a fast paced environment, close to 4years track record of experience in SQL Server database administration, best practices, capacity planning, Database, database administration, SQL
Education: Bsc in Sociology@LAGOS STATE UNIVERSITY
Experience: SQL Database Administrator@TRW /ZF | SQL Database Administrator@ACCESS BANK NIGERIA
Skill: Data Migration, Database Performance tuning, Backup and Recovery, Disaster Recovery, Database Security, Database upgrades, High Availability Solutions, Integration Services, Database Replication, Data Migration, Database Performance tuning, Backup and Recovery, Disaster Recovery, Database Security, Database upgrades, High Availability Solutions, Integration Services, Database Replication"
Sr. Oracle DBA,"Ability: Supported multi-terabyte databases, Upgraded 10g to 11g, Installed and configured new Quarterly ORACLE HOMES, Documented incidents, Supported agent patching for 12c server transformations, Used OEM 11g and 12c to connect to and monitor 10g and 11g databases, Performed backups and file system usage management, Used RMAN, datapump, and SQL Server management studio for refreshes, Performed tablespace management, Monitored system performance, Handled frequent code releases and data fixes to production, Performed export and import of User, Tables and Database, Involved in creating and managing users and objects, Involved in assigning roles and privileges to different users, Managed and resolved design issues during development stage, Supported more than 800 databases for 24/7 support, Supported the upgrade of RHEL and Hardware diagnostics, Worked in all shifts and 5 days snap at the maximum handovers, Supported the quarterly reboots for multiple servers and involved in Data guard home relinking as well as RAC Relinking, Installed GRID Patch for 11.2.0.4 and moved ASM to newer homes, Installed the fresh homes for 11.2.0.4 on Linux servers, Installing and Managing Oracle 10g and 11g RAC databases, Set up, configured and maintained oracle active data guard/Veritas Cluster, Performed day-to-day DBA jobs for managing Production/Development databases, Excellent experience in Opatch and Oracle upgrades, Rebuilding Indexes and gather statistics on tables on different databases, Managed users, privileges, profiles, schemas using Oracle Grid Manager, Oracle Enterprise Manager (OEM) and SQL, Worked on import/export and datapump export/import, Tuned the Databases for optimization using AWR, ASH, ADDM, STATSPACK, Explain Plans and TKPROF, Estimating Table & Index Size, Configured shell scripts for job/process automation, Excellent experience in moving databases to different servers and schemas to different databases, Excellent experience in managing space for tablespaces with physical and logical standby databases in place, Part of the team for database upgrade from 10.2.0.2 to 10.2.0.4 with logical and physical standby in place, Migrating and upgrading the databases to higher versions, Part of the migrating team responsible for up gradation from Oracle 9i to Oracle 10g, Worked on Opatch and Oracle upgrades, Responsible for installing, upgrading and configuring the Oracle server, Worked in release management involving database components, Oracle security and familiar with database vault, Developed PL/SQL packages, stored procedures, functions, Cursors, triggers, Set up Grid Control to monitor databases, Backup/Restoration, scheduling Backups, taking Logical Backups, Setup backup, recovery and testing backups and procedures using RMAN, Automation of job scheduling by crontab, Tuned the Databases for optimization using STATSPACK, Explain Plans and TKPROF, Estimating Table & Index Size, Partitioned large tables to increase the performance
Education: nan@nan
Experience: Sr. Oracle DBA@United Airlines | Oracle DBA@Boeing Company | Oracle DBA@AT&T | Oracle Database Administrator@PNC Bank | Oracle DBA@MBIA
Skill: Export Import, HP service guard, Upgrade, Migrate, SQL, PL/SQL, SQL Tuning, Instance Tuning, SQL Server 2005, SQL Server 2008, MSSQL, RHEL, AIX, HPUX, Windows, TOAD, Grid Control, RMAN, Troubleshooting Skill, Grid Control, Cloud Control 12c, OEM 12c, Export Import, RAC, Data Guard, ASM, Upgrade, Migrate, SQL, PL/SQL, SQL Tuning, Instance Tuning, SQL Server 2005, SQL Server 2008, MSSQL, RHEL, AIX, HPUX, Windows, TOAD, Grid Control, RMAN, Troubleshooting Skill, Grid Control, Cloud Control 12c, OEM 12c, Oracle 11g/10g/9i/, data guard with physical and logical standby databases, Sun Solaris 10 on M5000/M3000, HP servers, Oracle Enterprise Manager, SQL, TOAD, AWR, ASH, ADDM, TPROF, Explain plan, STATSPACK, from oracle to oracle databases, Oracle 10g/9i, HP-UX, Windows NT/2000, Sun Solaris 10, Oracle Enterprise Manager, SQL, TOAD, Erwin Data Modeler, RMAN, TPROF, Explain plan, STATSPACK, I3agent, SQL* Loader, Oracle 10g/9i, HP-UX, AIX, Sun Solaris, Red Hat Linux, Oracle Enterprise Manager, SQL, PL/SQL, TOAD, Erwin Data Modelar, RMAN, TPROF, Explain plan, STATSPACK, SQL* Loader, Windows NT/2000"
Sr. Oracle DBA,"Ability: Oracle DBA, RMAN, Solaris, SQL, UNIX, RAC, ASM, Data Guard, SQL Tuning, PL/SQL, Shell Scripting, Exadata, Erwin
Experience: Sr. Oracle DBA@Merrill Lynch | Oracle DBA@UBER Inc | Oracle DBA@Fed Ex | Jr. Oracle Database Administrator@Alpharetta, GA
Skill: Oracle 10g, Oracle 11g, Oracle 12c, Sun Solaris, Red Hat Linux, Windows, Database Administration, Oracle Grid Control, Oracle Enterprise Manager, TOAD, Oracle SQL Developer, Real Application Clusters, Automatic Storage Management, Disaster Recovery, Database Backup, RMAN, Data Guard, Data Replication, SQL Tuning, PL/SQL, Shell Scripting, Exadata, Erwin, Oracle 9i, Oracle 10g, Oracle 11g, Oracle 12c, RAC, Data Guard, RMAN, Data Pump, Exadata, ASM, Shell Scripting, Backup and Recovery, Oracle 9i, Oracle 10g, Oracle 11g, Oracle 12c, RAC, Data Guard, RMAN, SQL Tuning, Backup and Recovery, Shell Scripting, Oracle Auditing, Oracle Partitioning, Oracle Replication, Oracle 8i, Oracle 9i, Oracle 10g, RAC, Data Guard, RMAN, SQL*Loader, Shell Scripting, Database Tuning, Capacity Planning"
DATABASE ADMINISTRATOR,"Ability: Over 8 years of IT experience, Database Design, Troubleshooting database performance issues, Installing, configuring, updating and managing Windows Server Operating Systems, Working with Active Directory, Accountable, Ability to multi-task and prioritize, Ability to work independently and as part of a team, Ability to function under close deadlines, Desire and capacity to learn new technical skills, Good verbal & written communication skills
Education: Master of Science in information system management@DeVry College of New York | Bachelor of Engineering in Electronics and Communications@Gujarat University
Experience: DATABASE ADMINISTRATOR@NYC DEPARTMENT OF HPD | Senior DBA@ACCORDO | DBA/Developer@Hurley Medical Center | SQL Server Developer@Bank of Baroda
Skill: SQL server (2008, 2012, 2014, 2016), Oracle (11g, 12c), AWS environments, Windows Server Operating Systems, Active Directory, SQL performance tuning, High Availability and Disaster Recovery solutions, SQL Server authentication, SQL HA/DR, T-SQL code and stored procedures, MS SQL Server installation and configuration, SQL Server performance tuning, SQL Server migration, SQL Server automation, SQL query optimization, Database security and audit solutions, Data migration, SSRS migration, AWS environment, SSAS Tabular models, SQL Server monitoring and optimization, T-SQL development, SQL Server performance tuning, Database maintenance, Stored procedures and DTS packages, Data import/export"
Oracle Database Administrator,"Ability: RMAN, User Management, Security Management, Monitoring, Backup and Recovery, Networking, Troubleshooting, Multitenant Container, Storage Management, Monitoring and Tuning, Development Support, SCSM Ticket Management, Peoplesoft Administration, Scripting, Performance Tuning, Enterprise Manager, Upgrade and Patching, Architecture and Troubleshooting
Education: Bachelor in Computer Science@University of Benin, Edo State
Experience: Oracle Database Administrator@Hogan Transport Llc | Oracle Database Administrator@Wells Fargo Bank | Database Analyst@UBA BANK
Skill: RMAN, User Management, Security Management, Monitoring, Backup and Recovery, Networking, Troubleshooting, Multitenant Container, Storage Management, Monitoring and Tuning, Development Support, Security Management, SCSM Ticket Management, Peoplesoft Administration, Backup and Recovery, Scripting, Monitoring, Performance Tuning, Enterprise Manager, Upgrade and Patching, Security Management, Backup and Recovery, Architecture and Troubleshooting, Scripting"
Database Administrator,"Ability: Interim chair & Co-Founder of Technology Committee, Implement V4S Mobile App, Develop & implement company security protocols in Office 365 & Salesforce, Implement Contracts, Price Books, & Quotes, Create and implement Ticket system using Cases for internal customers, Manage & improve DocuSign Document integration, Improve efficiencies throughout org through process automation, Manage relationships with Consultants & Developers, Improve Salesforce adoption in all departments, Migrate Group Reservations & Sales Depts to Salesforce, Restructure user portal improving user experience & collecting over 200% more dollars compared to year prior, Leverage standard and package solutions, introducing customizations and automations as needed, Acting Database Administrator, Oversaw processing registrations through the collection & processing of all fees & enrollment forms, entry into the database system & sending of confirmation letter/e-mails, Co-Founder of Tech Committee, Evolved efficiencies & innovated within the database to improve processes, Worked closely with Marketing to ensure program details were communicated clearly, simply, & were intuitively accessible to public, Created & performed regular database audits, Oversaw functionality of all tech & apps, Provided coaching, training, & direct support to the Reservations Team, Built and maintained Reservations Portal content with routine maintenance checks, Assessed need for app integrations & collaborated with appropriate resources to implement, Ensured the input & maintenance of high quality data, Acted as first POC for technology errors & identifying correct support resources, Oversaw all aspects of over 9000 individual reservations, Reviewed paperwork compliance for every individual – Equestrian compliance has increased 40% since 9/15; now 100%, Identified & implemented streamlined processes in all aspects of organization, Ensured input & maintenance of high quality data via Salesforce reporting, Audited & created portal registration for programs, Provided Salesforce consultation & training to all staff & volunteers, Maintained accurate accounting records, Reviewed, developed & maintained media for accuracy & clarity, Developed & implemented department Training Curriculum, Acted as Partner Relationship Manager to Sales Partners, Supported Delivery Project Management: Disaster Recovery & Business Continuity, Managed schedules for President & Project Managers, coordinating with C- & S- level clients, Provided outreach & support to clients pertaining to Business Continuity, Develop & Maintain functional Wiki through Confluence, Demonstrated ability to prioritize, Formatted, populated, cleaned, & compiled content in Excel, Word, & PowerPoint for client delivery, Drafted proposals for prospective clients, Hotel-wide recognition and bonus for personalized customer service in 5-star hotel, Assistant to Events Coordinator, Corresponded with local chefs, California Vintners, & marketing partners on Facebook Page, Shared social media marketing responsibilities, Edited content for Red, White & Snow program, Database Manager in FileMaker Pro, Implemented Medicaid Billing for VT & NH, Developed all Digital Media in QuarkXpress, Oversaw creation & copyediting of Newsletter, 2012-2014 Project Manager for Outcomes Evaluation Therapeutic Center Collaborative, Provided support to program development, 2013-2014 Project Manager for Benchmarks for a Better Vermont Performance Institute, Support with Event Management during fundraisers, Group/Independent Research: Organized two research projects: group research - life at MHC; independent research - Facebook friendships vs. face-to-face friendships - both IRB proposals accepted, Served on Board with Dean of College & Dean of Students to help improve services at MHC
Education: B.A. in Sociology@Mount Holyoke College
Experience: Database Administrator@National Ability Center (NAC) | Reservations & Office Manager@National Ability Center (NAC) | Reservations Coordinator@National Ability Center (NAC) | Associate Consultant@Axiom Recovery (AR) | Paintbox Children's Attendant@Montage Deer Valley | Volunteer@National Ability Center (NAC) | Project Manager@High Horses (HH) | Researcher@Sociology Dept | Member@Disability Advisory Board
Skill: Implement V4S Mobile App, Develop & implement company security protocols in Office 365 & Salesforce, Implement Contracts, Price Books, & Quotes, Create and implement Ticket system using Cases for internal customers, Manage & improve DocuSign Document integration, Improve efficiencies throughout org through process automation, Manage relationships with Consultants & Developers, Improve Salesforce adoption in all departments, Migrate Group Reservations & Sales Depts to Salesforce, Restructure user portal improving user experience & collecting over 200% more dollars compared to year prior, Leverage standard and package solutions, introducing customizations and automations as needed, Acting Database Administrator, Oversaw processing registrations through the collection & processing of all fees & enrollment forms, entry into the database system & sending of confirmation letter/e-mails, Co-Founder of Tech Committee, Evolved efficiencies & innovated within the database to improve processes, Worked closely with Marketing to ensure program details were communicated clearly, simply, & were intuitively accessible to public, Created & performed regular database audits, Oversaw functionality of all tech & apps, Provided coaching, training, & direct support to the Reservations Team, Built and maintained Reservations Portal content with routine maintenance checks, Assessed need for app integrations & collaborated with appropriate resources to implement, Ensured the input & maintenance of high quality data, Acted as first POC for technology errors & identifying correct support resources, Oversaw all aspects of over 9000 individual reservations, Reviewed paperwork compliance for every individual – Equestrian compliance has increased 40% since 9/15; now 100%, Identified & implemented streamlined processes in all aspects of organization, Ensured input & maintenance of high quality data via Salesforce reporting, Audited & created portal registration for programs, Provided Salesforce consultation & training to all staff & volunteers, Maintained accurate accounting records, Reviewed, developed & maintained media for accuracy & clarity, Developed & implemented department Training Curriculum, Acted as Partner Relationship Manager to Sales Partners, Supported Delivery Project Management: Disaster Recovery & Business Continuity, Managed schedules for President & Project Managers, coordinating with C- & S- level clients, Provided outreach & support to clients pertaining to Business Continuity, Develop & Maintain functional Wiki through Confluence, Demonstrated ability to prioritize, Formatted, populated, cleaned, & compiled content in Excel, Word, & PowerPoint for client delivery, Drafted proposals for prospective clients, Hotel-wide recognition and bonus for personalized customer service in 5-star hotel, Assistant to Events Coordinator, Corresponded with local chefs, California Vintners, & marketing partners on Facebook Page, Shared social media marketing responsibilities, Edited content for Red, White & Snow program, Database Manager in FileMaker Pro, Implemented Medicaid Billing for VT & NH, Developed all Digital Media in QuarkXpress, Oversaw creation & copyediting of Newsletter, 2012-2014 Project Manager for Outcomes Evaluation Therapeutic Center Collaborative, Provided support to program development, 2013-2014 Project Manager for Benchmarks for a Better Vermont Performance Institute, Support with Event Management during fundraisers, Group/Independent Research: Organized two research projects: group research - life at MHC; independent research - Facebook friendships vs. face-to-face friendships - both IRB proposals accepted, Served on Board with Dean of College & Dean of Students to help improve services at MHC"
Database Administrator,"Ability: Technologically-minded, IT graduate, Solid work experience, Excellent work ethic, Quick learner, Manage multiple projects, Goal-oriented, Authorized to work in the US
Education: Associate Degree in Information Technology@Bryant & Stratton College
Experience: Database Administrator@RSVP Communications | Help Desk Support@IBM/CTG | Help Desk Support@6 Fountain Plaza | IT Tutor@nan | Help Desk Support@Earthlink/ProUnlimited | Technical Host Support@Olean Area Federal Credit Union | Contract Work@NSI
Skill: SQL, FoxPro, Print jobs, Printer maintenance, Fulfillment, Billing, Help Desk Technician, Product support, NEMT Dispatching, Knowledge base management, Website updates, On-boarding, HTML, Ticket/call logs, Live-Chat, Screen sharing, Managerial role, Technical skills teaching, Networking, Security, Microsoft Office, Internet, Firewall, Anti-virus, Cloud, Help Desk, Password resets, Account unlocking, Troubleshooting, Escalation, Server maintenance, End-point user support, Hardware maintenance, Software implementation, Wiring, Equipment relocation, ATM maintenance, Domain control, User setup, Exchange server, Backup, PC imaging, Printer installation, POS system installation, PC repair/rebuild"
Database Administrator II,"Ability: Database Administrator, Communications Manager, Strategic Communications, Brand Integrity, Crisis Communication, Microsoft Office Suite, Microsoft Excel Specialist
Education: Master's in Communication Studies@University of Kansas | Bachelor's in Literature, Language & Writing@University of Kansas
Experience: Database Administrator II@Black & Veatch | Reporting Systems Analyst@Starwood Hotels, Westin & Sheraton Crown Center | Senior Reservations Coordinator@Starwood Hotels, Westin & Sheraton Crown Center
Skill: Construct internal and external communication strategies, Develop spreadsheets, executive summaries, and PowerPoint presentations, Craft crisis communication plans, Prepare inter- and cross-departmental training curriculum, Engineered dynamic reports to track and analyze sales, Authored style guide to ensure accuracy and brand integrity, Introduced training manuals for new property management software, Organized weekly manager meetings to increase collaboration, Supervised individual, group, and corporate reservations, Answered inquiries and resolved disputes with customers and booking agents, Drafted large group proposals, confirmation letters, and conflict resolution documents, Directed VIP room accommodations and provided emergency housing"
Database Administrator,"Ability: Database Administration, Computer Networking, Active Directory, Telecommunications, Troubleshooting, Help desk/technical support, ERP Administration/Support, Interpersonal Communication, Web Application Development, Programming/application development, Mobile applications and device management, Computer Management, System Administrator
Education: Bachelor of Science in Computer Science in Computer Programming, Computer Networking, Database Management, Computer Hardware@Kabul University
Experience: Database Administrator@Afghan Coalition | IT Support Engineer@Department of State/United States Embassy | Senior ERP Assistant@Etisalat Telecommunication Company | Assistant Programmer@First Rate Inc | Student Intern@Roshan Telecommunication Development Company
Skill: Configure database servers, Monitor and maintain system health and security, Design backup processes for server and associated data, Create accounts for all users and assign security levels, Provide end-to-end technical support and problem resolution, Schedule and perform regular server maintenance, Create database management procedures, Provided phone, remote, in person, helpdesk support to customers, Investigated application problems and provided solutions to customers, Achieved the highest level of productivity, handled over 1000 calls per month, Earned solid reputation for resolving complex issues and providing exceptional customer service, Provided network administration and support for 1000+ company users under Multi-platform environment with PC clients, Trained and assisted users with policies and procedures for PDA, mobile computing device, and video conferencing systems, Utilized a CRM daily to track and work desktop support tickets such as hardware repairs, installing software, cloning/ maintained user permissions, and answered users questions, Generated procedure guides for several tasks such as user maintenance/access in Active Directory, desktop deployment, and re-imaging laptops, Created, configured mailboxes for additional users and configured mail account to use open web access by configuring mailbox features, Installed and Configured mail clients on mobile devices which includes Apple mail and Exchange, Performed as a member of an application support team for ERP systems users throughout the organization, Worked with ERP systems users and management to determine appropriate system configuration and setup, Assisted with testing new releases of ERP systems prior to use in a production environment, Created documentation and procedures guidelines for ERP systems users, Thoroughly understood ERP security subsystem in order to assign appropriate system access to users at different levels throughout the organization, Thoroughly understood business practices and procedures in order to design, develop and maintain automated workflow processes, Worked as a Systems Analyst with knowledgeable persons throughout the agency to help define user needs and develop data processing solutions, Analyzed and troubleshoot ERP system issues reported by end users, Designed, developed and maintained reports, forms, views and tables used by technical staff and ERP systems users, Used established procedures, coded, tested and debugged advance application programs, software components, and interfaces or modifying existing high-complexity software according to specifications, Used established procedures performs unit or modular testing, Prepared technical documents, user manuals, and help files, Assisted in analysis, recording, tracking, and resolution of application problems, Coded and executed programs to extract, transform, and load data for simple and advanced system conversions, Assisted in gathering information and eliciting and documenting business requirements, Assisted in developing functional specifications, Participated in the design, testing and documentation phases of programs of moderate complexity and/or independently, Performed the design, testing and documentation phases of the more standard or routine programs assigned, Translated predetermined logic into appropriate programming language, Utilized standard reference, resource or procedural materials to resolve problems, Understood the client requirements and how they translate in application features, Collaborated with a team of IT professionals to set specifications for new applications, Designed creative prototypes according to specifications, Wrote high quality source code to program complete applications within deadlines, Performed unit and integration testing before launch, Conducted functional and non-functional testing, Troubleshoted and debugged applications, Evaluated existing applications to reprogram, updated and added new features, Developed technical documents to accurately represent application design and code"
Database Administrator,"Ability: 6+ Years of professional IT experience as an Oracle Apps DBA and Fusion (OAM/OID/WebLogic/OEM/SOA/OTM/ADF) administration, In depth understanding of Oracle RAC, Database and Middleware concepts, Installing, configuring and administration (patching, cloning, upgrading and supporting ) of 10g CRS, 11g Grid infrastructure along with databases 9i, 10g, 11g, Installing, configuring and administering Oracle Applications ERP R11, R12.1/R12.2 in a complex Multi-tier architecture, Experience in handling upgrade from R12.2.0 to R12.2.4 and 12.2.5, Experienced in installing, upgrading and supporting WebLogic, SOA and OTM applications, Expertise in providing high availability solutions to Oracle Database, Applications (R12), SOA-BPEL and OTM environments, Have a good exposure and working experience in No-SQL DB's Cassandra and Mongo, Keen in troubleshooting the issues by coordinating with different teams across platforms, Good experience in performance tuning, Good in maintaining the SLA's and following the process, Good communication skills and inter personal skills, Willingness to learn new Technologies and the ability to put them into practice
Education: B-Tech in Electrical and Electronics Engineering@Kakatiya University | Mathematics, Physics and Chemistry@Narayana Junior College | S.S.C.@Bhashyam Public School
Experience: Database Administrator@Qualcomm India Private Limited | IT Analyst@Tata Consultancy Services Ltd | Systems Engineer@Tata Consultancy Services Ltd | Assistant System Engineer@Tata Consultancy Services Ltd | Assistant System Engineer Trainee@Tata Consultancy Services Ltd
Skill: Oracle 9i/10g/11g, Oracle EBS 11.5.9 / R12.1.3 /12.2.0/12.2.4, WebLogic: 10.3.5, 10.3.6, SOA: 11.1.1.5/6/7 and 12c, OTM: 6.2.8, Solaris, OEL5.4, RHEL 4,5 Windows XP/7, Python, Perl, Shell Scripting SQL, PL/SQL and JAVA, Kintana and HP PPM, Toad, RMAN, DGMGRL, SQL*PLUS, AD Utilities, Oracle Enterprise Manager (OEM) 12C, HP- Kintana Migration tool"
Oracle Database Administrator,"Ability: DATABASES, ORACLE, UNIX, LOADER, SQL
Education: Bachelors of Engineering in Engineering@Rajiv Gandhi Proudyogiki Vishwavidyalaya
Experience: Oracle Database Administrator@AT&T | Oracle DBA@Walgreens Corporate | Sr. Oracle DBA@Department Of Pennsylvania | Oracle DBA/Developer@Soft Planet Technologies | Oracle DBA@Cargill
Skill: Oracle 11gR1/R2, UNIX (Sun Solaris), Golden Gate, Oracle E-Business suite R12, Exadata, Oracle 11gR2, RAC, ASM, Data Guard, Linux, OEM Grid Control, Oracle 10g, Oracle 11g, SQL, Oracle Grid Control, UNIX, Oracle Enterprise Manager Database Control, DB2, TOAD, SQL Developer, SQL*Loader, NT, Sun Solaris, ASM, Golden gate, RAC, RMAN, AWR, ADDM, ASH, TTS, Data pumps, Exports/Imports, Oracle 8i, Oracle 9i, SQL, Oracle Enterprise Manager Database Control, SQL Developer, PL/SQL, SQL*Loader, NT, Oracle 10g, Oracle 11g, Exadata, Linux, UNIX, Windows 2003, SQL Server 2008, Oracle Enterprise Manager Grid Control 11g 12c, RDBMS, SQLPLUS, RAC"
Job Seeker,"Ability: Database administration, Database, Oracle, SQL, RMAN, Business continuity, Security, Shell scripting, Unix, Application integration, Perl, Scripting, Storage management, Systems administration, RDBMS, Migrations, Auditing, Integration, Grid Infrastructure, Data Validation Tools, Hardware, Software, Data Backup, Bug fixes, Patches, Security updates, Server performance, Network capacity, Security issues, Software audits, Disaster Recovery, RAC, RAC One Node, Data Guard, Backup Operations, Hardware system, User load utilization, Database Access, Performance issues, Database optimization, SGA data dictionary, Database parameters, Data file reorganization, Contention factors, I/O, Buffers, Locks, Rollback segments, Batch processing, Oracle Diagnostics tools, Explain Plan, SQL Trace, TKPROF, SQL tuning, Database monitoring, Remote administration, Production databases, UNIX environment, Application tuning, Database tuning, Backup Recovery policy, Database design
Education: BSc in Economics@Methodist University College Ghana
Experience: Oracle Database Administrator@FastData Nig Ltd | System Administrator@UBA NIGERIA PLC | Controlled and monitored user access to the database@EXTREME FITNESS
Skill: Oracle, Oracle 10g, SQL, RMAN, Business continuity, Security, Shell scripting, Unix, Unix shell, Application integration, Perl, Scripting, Storage management, Systems administration, RDBMS, Migrations, Auditing, Integration, Grid Infrastructure, Database Clients, Data Validation Tools, SQL, Hardware, Software, Data Backup, Bug fixes, Patches, Security updates, Server performance, Network capacity, Security issues, Software audits, Disaster Recovery, RAC, RAC One Node, Data Guard, Backup Operations, Hardware system, User load utilization, Database Access, Performance issues, Database optimization, SGA data dictionary, Database parameters, Data file reorganization, Contention factors, I/O, Buffers, Locks, Rollback segments, Batch processing, Oracle Diagnostics tools, Explain Plan, SQL Trace, TKPROF, SQL tuning, Database monitoring, Remote administration, Production databases, UNIX environment, Application tuning, Database tuning, Backup Recovery policy, Database design"
